state,state_abbr,state_fips,county_code,msa_code,county_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_3
Colorado,CO,08,049,0800003,Grand,5456,8004,11993,15962,10003,12415,15969
Colorado,CO,08,051,0800002,Gunnison,4241,6222,9322,12407,7776,9650,12413
Colorado,CO,08,053,0800002,Hinsdale,4790,7027,10529,14013,8782,10899,14020
Colorado,CO,08,055,0800001,Huerfano,4195,6153,9219,12270,7690,9544,12276
Colorado,CO,08,057,0800003,Jackson,5655,8296,12429,16543,10368,12867,16550
Colorado,CO,08,059,19740,Jefferson,4790,7027,10529,14013,8782,10899,14020
Colorado,CO,08,061,0800001,Kiowa,4078,5982,8963,11928,7476,9278,11934
Colorado,CO,08,063,0800001,Kit Carson,3902,5725,8577,11416,7154,8879,11421
Colorado,CO,08,065,0800003,Lake,5608,8227,12327,16406,10282,12760,16413
Colorado,CO,08,067,0800002,La Plata,5106,7490,11222,14936,9361,11617,14943
Colorado,CO,08,069,22660,Larimer,4720,6924,10375,13808,8654,10740,13815
Colorado,CO,08,071,0800001,Las Animas,4136,6067,9091,12099,7583,9411,12105
Colorado,CO,08,073,0800001,Lincoln,4568,6702,10041,13364,8375,10394,13370
Colorado,CO,08,075,0800001,Logan,3973,5828,8731,11621,7283,9039,11626
Colorado,CO,08,077,24300,Mesa,4358,6393,9579,12749,7990,9916,12754
Colorado,CO,08,079,0800001,Mineral,5141,7541,11299,15039,9425,11697,15046
Colorado,CO,08,081,0800003,Moffat,5538,8124,12173,16201,10153,12601,16208
Colorado,CO,08,083,0800002,Montezuma,4346,6376,9553,12715,7968,9889,12720
Colorado,CO,08,085,0800002,Montrose,4603,6753,10118,13467,8440,10474,13473
Colorado,CO,08,087,0800001,Morgan,3902,5725,8577,11416,7154,8879,11421
Colorado,CO,08,089,0800001,Otero,4078,5982,8963,11928,7476,9278,11934
Colorado,CO,08,091,0800002,Ouray,4674,6856,10272,13672,8568,10634,13678
Colorado,CO,08,093,19740,Park,5386,7901,11839,15757,9875,12255,15764
Colorado,CO,08,095,0800001,Phillips,3973,5828,8731,11621,7283,9039,11626
Colorado,CO,08,097,0800003,Pitkin,5421,7953,11916,15859,9939,12335,15866
Colorado,CO,08,099,0800001,Prowers,3704,5433,8141,10835,6790,8427,10840
Colorado,CO,08,101,39380,Pueblo,4078,5982,8963,11928,7476,9278,11934
Colorado,CO,08,103,0800003,Rio Blanco,4779,7010,10503,13979,8761,10873,13985
Colorado,CO,08,105,0800001,Rio Grande,4335,6359,9528,12680,7947,9863,12686
Colorado,CO,08,107,0800003,Routt,5433,7970,11941,15893,9961,12362,15900
Colorado,CO,08,109,0800001,Saguache,4218,6187,9271,12339,7733,9597,12344
Colorado,CO,08,111,0800002,San Juan,5340,7833,11736,15620,9789,12149,15627
Colorado,CO,08,113,0800002,San Miguel,4557,6685,10015,13330,8354,10368,13336
Colorado,CO,08,115,0800001,Sedgwick,3926,5759,8629,11484,7197,8932,11489
Colorado,CO,08,117,0800003,Summit,5538,8124,12173,16201,10153,12601,16208
Colorado,CO,08,119,17820,Teller,4522,6633,9938,13227,8290,10288,13233
Colorado,CO,08,121,0800001,Washington,3902,5725,8577,11416,7154,8879,11421
